name,launchDate,origin,duration,type,description,employmentRequirements,age,minimumYearsOfExperience,qualification,occupations,languageRequired,cargoFor,cargoRequired,quantityRequired,countriesAllowed
​Commercial Crew,28/03/2023,Russian Federation,45,agriculture,urna justo faucibus lectus| a sollicitudin orci sem eget massa. Suspendisse eleifend. Cras sed leo. Cras vehicula,Feedlot Supervisor | Farm Manager,18-32,2yr,BDS,,english|greek| arabic| persian,For other mission,wood| beef,67,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Orion Spacecraft,27/07/2021,Russian Federation,67,infrastructure,rhoncus. Proin nisl sem| consequat nec| mollis vitae| posuere at| velit. Cras lorem lorem| luctus ut| pellentesque eget| dictum placerat| augue. Sed molestie. Sed,Builder | Conractor| Supervisor,18-32,8yr,MIT,electrician,english|,For Journey,surgical| pies| beef,124,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Solar Anomalous and Magnetospherice Particle Explorer (SAMPEX),3/10/2025,Russian Federation,29,agriculture,porta elit| a feugiat tellus lorem eu metus. In lorem. Donec elementum| lorem ut aliquam iaculis| lacus pede sagittis augue| eu tempor,Feedlot Supervisor | Farm Manager,18-50,1yr,MS,painter,english|mandarin| bengali| hindi,For the mission,noodles| salads,360,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Roentgen Satellite (ROSAT),4/11/2024,Australia,74,infrastructure,quis arcu vel quam dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In condimentum. Donec at arcu.,Builder | Conractor| Supervisor,24-50,2yr,BE,general practitioner,english|portugese| bengali| hindi,For other mission,,276,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Hitomi (ASTRO-H),6/07/2023,United Kingdom,52,agriculture,senectus et netus et malesuada fames ac turpis egestas. Fusce aliquet magna a neque. Nullam ut nisi a odio semper cursus.,Feedlot Supervisor | Farm Manager,18-32,3yr,MBBS,painter,english|telugu| hausa,For Journey,beef,24,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Rosetta,16/01/2022,India,26,infrastructure,Donec nibh. Quisque nonummy ipsum non arcu. Vivamus sit amet risus. Donec egestas. Aliquam nec enim. Nunc ut erat. Sed nunc est| mollis non|,Builder | Conractor| Supervisor,18-50,7yr,BE|BDS,carpenter,english|hindi| hausa| italian,For the mission,concrete| chicken,424,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
ASTRO-1,27/01/2024,Germany,62,agriculture,eu| euismod ac| fermentum vel| mauris. Integer sem elit| pharetra ut| pharetra sed| hendrerit a| arcu. Sed et libero. Proin mi. Aliquam gravida mauris ut mi.,Feedlot Supervisor | Farm Manager,18-50,2yr,ME|MS,painter,english|bengali| russian,For other mission,seeds| noodles,487,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
CYGNSS (Cyclone Global Navigation Satellite System),26/07/2024,United Kingdom,30,infrastructure,diam. Duis mi enim| condimentum eget| volutpat ornare| facilisis eget| ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis,Builder | Conractor| Supervisor,24-50,8yr,MDS|MBA,,english|punjabi,For Journey,water| cereals| seafood,462,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
SMAP (Soil Moisture Active Passive),12/07/2021,United Kingdom,32,agriculture,aliquet| sem ut cursus luctus| ipsum leo elementum sem| vitae aliquam eros turpis non enim. Mauris quis turpis vitae purus gravida sagittis. Duis gravida. Praesent eu nulla,Builder | Conractor| Supervisor,18-50,3yr,BDS|MIT,builder,english|portugese| hindi| italian,For the mission,stews| desserts,247,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
TDRS (Tracking and Data Relay Satellites),15/07/2023,Austria,28,infrastructure,convallis est| vitae sodales nisi magna sed dui. Fusce aliquam| enim nec tempus scelerisque| lorem,Builder | Conractor| Supervisor,18-50,10yr,MS|BE,surgeon,english|hindi| bengali,For other mission,surgical| salads,134,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
DISCOVER-AQ,3/04/2024,Russian Federation,44,agriculture,nisi magna sed dui. Fusce aliquam| enim nec tempus scelerisque| lorem ipsum sodales purus| in molestie tortor nibh sit amet orci. Ut sagittis,Builder | Conractor| Supervisor,24-50,5yr,MBA|MBBS,surgeon,english|greek| french| hindi,For Journey,chicken| pork,474,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Space Station,28/05/2021,Australia,44,infrastructure,pharetra| felis eget varius ultrices| mauris ipsum porta elit| a feugiat tellus lorem eu metus. In lorem. Donec elementum| lorem ut aliquam iaculis| lacus pede sagittis augue|,Builder | Conractor| Supervisor,18-50,8yr,BDS,,english|persian| french| arabic,For the mission,desserts| soups| chicken,377,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Submillimeter Wave Astronomy Satellite (SWAS),4/11/2023,India,77,agriculture,elit| pharetra ut| pharetra sed| hendrerit a| arcu. Sed et,Builder | Conractor| Supervisor,18-50,5yr,MIT|BE,,english|arabic| french,For other mission,seeds| desserts| pasta| water,241,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Shuttle-Mir,10/11/2020,United States,94,infrastructure,sagittis semper. Nam tempor diam dictum sapien. Aenean massa. Integer vitae nibh. Donec est mauris| rhoncus id| mollis nec| cursus a| enim.,Builder | Conractor| Supervisor,18-32,3yr,MS,designer,english|,For Journey,stews| chicken,249,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Hurricanes,20/04/2024,New Zealand,48,agriculture,pretium neque. Morbi quis urna. Nunc quis arcu vel quam dignissim pharetra. Nam,Feedlot Supervisor | Farm Manager,18-50,6yr,BE,nurse,english|telugu,For the mission,noodles| chicken| salads,354,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
LCROSS,11/10/2025,United Kingdom,84,infrastructure,sed leo. Cras vehicula aliquet libero. Integer in magna. Phasellus dolor elit| pellentesque a| facilisis non| bibendum sed| est. Nunc laoreet lectus quis massa. Mauris vestibulum| neque sed dictum,Builder | Conractor| Supervisor,18-32,7yr,MBBS,designer,english|,For other mission,pies,301,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
NMP EO-1,21/07/2021,Austria,62,agriculture,Morbi metus. Vivamus euismod urna. Nullam lobortis quam a felis ullamcorper viverra. Maecenas iaculis aliquet diam. Sed diam lorem| auctor quis| tristique ac| eleifend vitae| erat.,Feedlot Supervisor | Farm Manager,24-45,8yr,BE,surgeon,english|,For Journey,stews,396,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
THEMIS,11/03/2022,United States,92,infrastructure,Aliquam ornare| libero at auctor ullamcorper| nisl arcu iaculis enim| sit amet ornare lectus justo eu arcu.,Builder | Conractor| Supervisor,18-50,8yr,ME,manufacturer,english|,For the mission,beef,55,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Solar Radiation and Climate Experiment (SORCE),5/11/2023,Canada,77,agriculture,tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas,Feedlot Supervisor | Farm Manager,18-32,3yr,MDS,designer,english|persian| hindi,For other mission,water,454,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
NuSTAR,22/10/2021,Canada,89,infrastructure,Nam interdum enim non nisi. Aenean eget metus. In nec orci. Donec nibh. Quisque nonummy ipsum non arcu. Vivamus sit,Builder | Conractor| Supervisor,24-50,2yr,BDS,general practitioner,english|bengali,For Journey,water| desserts,22,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
SEAC4RS,11/10/2022,New Zealand,44,agriculture,libero nec ligula consectetuer rhoncus. Nullam velit dui| semper et| lacinia vitae| sodales at| velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus.,Feedlot Supervisor | Farm Manager,24-45,2yr,MS,electrician,english|russian| javanese| greek,For the mission,cereals| chicken| salads,359,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
International Space Station,20/02/2025,Canada,27,infrastructure,et libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio| auctor,Builder | Conractor| Supervisor,24-50,1yr,MBA,builder,english|,For other mission,concrete,464,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
GLAST,13/02/2024,United Kingdom,88,agriculture,fringilla ornare placerat| orci lacus vestibulum lorem| sit amet ultricies sem magna nec quam. Curabitur vel lectus. Cum sociis natoque penatibus,Builder | Conractor| Supervisor,18-50,5yr,BDS,general practitioner,english|hindi| mandarin| italian,For Journey,water| salads,218,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
TRACE,9/10/2022,Austria,45,infrastructure,at| egestas a| scelerisque sed| sapien. Nunc pulvinar arcu et pede.,Builder | Conractor| Supervisor,24-50,6yr,MIT,carpenter,english|,For the mission,beef| pies| cereals,84,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Europa Clipper,23/09/2024,India,62,agriculture,interdum. Sed auctor odio a purus. Duis elementum| dui quis accumsan convallis| ante lectus convallis est| vitae sodales nisi magna sed dui. Fusce aliquam| enim,Feedlot Supervisor | Farm Manager,18-32,5yr,MS,builder,english|,For other mission,chicken| salads,476,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Hinode (Solar-b),1/05/2024,Canada,35,infrastructure,ipsum cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut,Builder | Conractor| Supervisor,18-50,5yr,BE,surgeon,english|punjabi| javanese,For Journey,pies,451,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Near Earth Asteroid Rendezvous (NEAR),14/05/2025,Austria,86,agriculture,nunc nulla vulputate dui| nec tempus mauris erat eget ipsum. Suspendisse sagittis. Nullam vitae diam. Proin dolor. Nulla semper tellus id nunc interdum feugiat. Sed nec metus,Feedlot Supervisor | Farm Manager,24-45,3yr,MBBS,nurse,english|,For the mission,pork| desserts| cereals| stews,340,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
IBEX (Interstellar Boundary Explorer),2/11/2024,India,47,infrastructure,Nunc mauris. Morbi non sapien molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare| libero at auctor ullamcorper| nisl arcu iaculis enim| sit amet ornare lectus justo,Builder | Conractor| Supervisor,24-45,2yr,BE,,english|,For other mission,cereals| soups,355,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Surveyor,15/01/2023,New Zealand,73,agriculture,egestas. Fusce aliquet magna a neque. Nullam ut nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim non,Feedlot Supervisor | Farm Manager,24-50,3yr,MIT,builder,english|greek| telugu| hindi,For Journey,pies| chicken| salads,311,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
